Dias,Capacidade Leitos Clínicos,Internados Leitos Clínicos,Capacidade UTI,Internados UTI,Capacidade LE,Internados Estabilização,Capacidade Leitos Respiradores,Internados Leitos Respiradores,Altas,,LC,I-ILC,UTI,I-UTI,LE,I-LE,LR,I-LR,ALTAS
06/04/2020,723,48,148,30,26,1,174,31,,,960,369,281,186,63,9,344,195,517
07/04/2020,723,53,148,28,26,1,174,29,,,,,,,,,,,
08/04/2020,723,55,148,22,26,0,174,22,,,,,,,,,,,
09/04/2020,723,45,164,30,30,0,194,30,,,,,,,,,,,
10/04/2020,723,75,169,40,30,0,199,40,,,,,,,,,,,
11/04/2020,723,74,169,42,30,0,199,42,,,,,,,,,,,
12/04/2020,723,73,169,41,34,0,203,41,,,,,,,,,,,
13/04/2020,723,77,169,37,34,0,203,37,,,,,,,,,,,
14/04/2020,723,72,169,38,34,1,203,39,,,,,,,,,,,
15/04/2020,723,76,169,32,34,1,203,33,,,,,,,,,,,
16/04/2020,723,73,175,32,34,1,209,33,,,,,,,,,,,
17/04/2020,723,61,175,33,34,1,209,34,,,,,,,,,,,
18/04/2020,723,61,175,33,34,1,209,34,,,,,,,,,,,
19/04/2020,723,62,175,34,34,1,209,35,,,,,,,,,,,
20/04/2020,723,65,175,35,34,1,209,36,,,,,,,,,,,
21/04/2020,726,66,175,46,34,0,209,46,,,,,,,,,,,
22/04/2020,725,75,175,47,34,1,209,48,,,,,,,,,,,
23/04/2020,725,80,175,49,34,2,209,51,,,,,,,,,,,
24/04/2020,725,95,175,50,34,2,209,52,,,,,,,,,,,
25/04/2020,725,86,175,52,34,1,209,53,,,,,,,,,,,
26/04/2020,738,89,177,52,34,2,211,54,,,,,,,,,,,
27/04/2020,738,99,180,56,34,2,214,58,,,,,,,,,,,
28/04/2020,738,110,188,60,34,2,222,62,,,,,,,,,,,
29/04/2020,750,122,188,62,34,2,222,64,,,,,,,,,,,
30/04/2020,750,129,188,60,34,2,222,62,,,,,,,,,,,
01/05/2020,750,137,188,65,34,3,222,68,,,,,,,,,,,
02/05/2020,744,143,188,63,37,5,225,68,,,,,,,,,,,
03/05/2020,744,128,188,64,44,6,232,70,,,,,,,,,,,
04/05/2020,760,137,189,70,46,2,235,72,,,,,,,,,,,
05/05/2020,760,145,189,75,46,7,235,82,,,,,,,,,,,
06/05/2020,760,167,189,82,46,5,235,87,,,,,,,,,,,
07/05/2020,766,190,196,82,39,3,235,85,,,,,,,,,,,
08/05/2020,766,198,208,88,42,3,250,91,,,,,,,,,,,
09/05/2020,766,199,210,86,39,0,249,86,,,,,,,,,,,
10/05/2020,766,200,210,98,39,2,249,100,,,,,,,,,,,
11/05/2020,766,211,220,104,39,3,259,107,,,,,,,,,,,
12/05/2020,766,201,236,101,39,2,275,103,,,,,,,,,,,
13/05/2020,782,218,236,109,39,3,275,112,,,,,,,,,,,
14/05/2020,786,217,237,118,39,2,276,120,,,,,,,,,,,
15/05/2020,793,231,241,123,41,4,282,127,,,,,,,,,,,
16/05/2020,824,226,241,127,39,2,280,129,,,,,,,,,,,
17/05/2020,828,236,241,121,39,2,280,123,,,,,,,,,,,
18/05/2020,828,239,241,127,39,3,280,130,,,,,,,,,,,
19/05/2020,818,244,241,134,39,2,280,136,,,,,,,,,,,
20/05/2020,899,247,243,139,43,3,286,142,322,,,,,,,,,,
21/05/2020,850,267,243,140,43,3,286,143,330,,,,,,,,,,
22/05/2020,854,311,237,155,49,10,286,165,350,,,,,,,,,,
23/05/2020,854,326,237,148,49,5,286,153,362,,,,,,,,,,
24/05/2020,853,331,246,150,45,5,291,155,374,,,,,,,,,,
25/05/2020,853,340,246,148,45,6,291,154,382,,,,,,,,,,
26/05/2020,853,338,246,158,45,2,291,160,401,,,,,,,,,,
27/05/2020,856,325,246,159,45,1,291,160,422,,,,,,,,,,
28/05/2020,864,336,246,158,45,3,291,161,438,,,,,,,,,,
29/05/2020,864,322,246,161,45,3,291,164,456,,,,,,,,,,
30/05/2020,864,331,262,174,45,3,307,177,467,,,,,,,,,,
31/05/2020,864,329,262,175,45,3,307,178,481,,,,,,,,,,
01/06/2020,864,312,259,183,45,4,304,187,495,,,,,,,,,,
02/06/2020,955,324,267,181,63,6,330,187,507,,,,,,,,,,
03/06/2020,960,369,281,186,63,9,344,195,517,,,,,,,,,,