,CIDADE,VALOR,BENEFICIARIOS
0,ACAUA,15675.0,16
1,AGRICOLANDIA,89870.0,87
2,AGUA BRANCA,722095.0,692
3,ALAGOINHA DO PIAUI,114950.0,111
4,ALEGRETE DO PIAUI,43890.0,43
5,ALTO LONGA,113905.0,110
6,ALTOS,1274900.0,1220
7,ALVORADA DO GURGUEIA,33440.0,33
8,AMARANTE,702240.61,670
9,ANGICAL DO PIAUI,175560.0,169
10,ANISIO DE ABREU,115995.0,112
11,ANTONIO ALMEIDA,15675.0,16
12,AROAZES,33440.0,33
13,AROEIRAS DO ITAIM,2090.0,3
14,ARRAIAL,19855.0,20
15,ASSUNCAO DO PIAUI,24035.5,24
16,AVELINO LOPES,229900.0,221
17,BAIXA GRANDE DO RIBEIRO,36575.0,36
18,BARRA D'ALCANTARA,20900.0,21
19,BARRAS,1530925.0,1466
20,BARREIRAS DO PIAUI,33440.0,33
21,BARRO DURO,110770.0,106
22,BATALHA,512050.0,490
23,BELA VISTA DO PIAUI,6270.0,7
24,BELEM DO PIAUI,19855.0,20
25,BENEDITINOS,89870.0,86
26,BERTOLINIA,31350.0,31
27,BETANIA DO PIAUI,7315.0,7
28,BOA HORA,6270.0,7
29,BOCAINA,71060.0,69
30,BOM JESUS,1095160.0,1048
31,BOM PRINCIPIO DO PIAUI,47025.0,46
32,BONFIM DO PIAUI,82555.0,80
33,BOQUEIRAO DO PIAUI,54340.0,53
34,BRASILEIRA,101365.0,98
35,BREJO DO PIAUI,3135.0,3
36,BURITI DOS LOPES,430540.25,413
37,BURITI DOS MONTES,41800.0,41
38,CABECEIRAS DO PIAUI,51205.0,50
39,CAJAZEIRAS DO PIAUI,11495.0,12
40,CAJUEIRO DA PRAIA,81510.0,79
41,CALDEIRAO GRANDE DO PIAUI,33440.0,33
42,CAMPINAS DO PIAUI,17765.0,18
43,CAMPO ALEGRE DO FIDALGO,29260.0,29
44,CAMPO GRANDE DO PIAUI,39710.5,39
45,CAMPO LARGO DO PIAUI,40755.0,40
46,CAMPO MAIOR,2259290.5,2163
47,CANAVIEIRA,10450.0,10
48,CANTO DO BURITI,1004245.0,958
49,CAPITAO DE CAMPOS,166155.0,160
50,CAPITAO GERVASIO OLIVEIRA,34485.97,34
51,CARACOL,126445.0,122
52,CARAUBAS DO PIAUI,44935.0,44
53,CARIDADE DO PIAUI,29260.0,29
54,CASTELO DO PIAUI,725230.0,693
55,CAXINGO,9405.0,10
56,COCAL,787930.0,755
57,COCAL DE TELHA,41800.0,41
58,COCAL DOS ALVES,25080.0,25
59,COIVARAS,17765.0,18
60,COLONIA DO GURGUEIA,60610.0,59
61,COLONIA DO PIAUI,15675.0,16
62,CONCEICAO DO CANINDE,16720.0,17
63,CORONEL JOSE DIAS,45980.0,45
64,CORRENTE,1530926.25,1465
65,CRISTALANDIA DO PIAUI,36575.0,36
66,CRISTINO CASTRO,335445.0,322
67,CURIMATA,465025.5,446
68,CURRAIS,0.0,0
68,CURRALINHOS,14630.0,15
69,CURRAL NOVO DO PIAUI,12540.0,13
70,DEMERVAL LOBAO,238260.0,229
71,DIRCEU ARCOVERDE,142120.0,137
72,DOM EXPEDITO LOPES,41800.0,41
73,DOMINGOS MOURAO,59565.0,58
74,DOM INOCENCIO,84645.0,82
75,ELESBAO VELOSO,457710.0,439
76,ELISEU MARTINS,42845.0,42
77,ESPERANTINA,1271765.0,1218
78,FARTURA DO PIAUI,21945.0,22
79,FLORES DO PIAUI,20900.0,21
80,FLORESTA DO PIAUI,15675.0,16
81,FLORIANO,2417086.35,2305
82,FRANCINOPOLIS,33440.0,33
83,FRANCISCO AYRES,20900.0,21
84,FRANCISCO MACEDO,13585.0,13
85,FRANCISCO SANTOS,131670.0,126
86,FRONTEIRAS,132715.0,128
87,GEMINIANO,24035.0,24
88,GILBUES,300960.0,289
89,GUADALUPE,340670.0,325
90,GUARIBAS,55385.0,54
91,HUGO NAPOLEAO,20900.0,21
92,ILHA GRANDE,99275.0,96
93,INHUMA,254980.0,245
94,IPIRANGA DO PIAUI,75240.0,73
95,ISAIAS COELHO,93005.0,90
96,ITAINOPOLIS,108680.0,104
97,ITAUEIRA,435765.0,414
98,JACOBINA DO PIAUI,22990.0,23
99,JAICOS,381425.85,366
100,JARDIM DO MULATO,10450.0,11
101,JATOBA DO PIAUI,19855.0,20
102,JERUMENHA,32395.0,32
103,JOAO COSTA,4180.0,5
104,JOAQUIM PIRES,70015.0,68
105,JOCA MARQUES,41800.0,41
106,JOSE DE FREITAS,724185.0,694
107,JUAZEIRO DO PIAUI,12540.0,13
108,JULIO BORGES,15675.0,16
109,JUREMA,55385.0,54
110,LAGOINHA DO PIAUI,10450.0,10
111,LAGOA ALEGRE,34485.0,34
112,LAGOA DO BARRO DO PIAUI,47025.0,46
113,LAGOA DE SAO FRANCISCO,58520.0,57
114,LAGOA DO PIAUI,8360.0,9
115,LAGOA DO SITIO,2090.0,2
116,LANDRI SALES,70015.0,68
117,LUIS CORREIA,780615.5,748
118,LUZILANDIA,566390.0,543
119,MADEIRO,7315.0,8
120,MANOEL EMIDIO,15675.0,16
121,MARCOLANDIA,65835.0,64
122,MARCOS PARENTE,19855.0,20
123,MASSAPE DO PIAUI,27170.0,27
124,MATIAS OLIMPIO,76285.0,74
125,MIGUEL ALVES,586245.0,562
126,MIGUEL LEAO,5225.0,6
127,MILTON BRANDAO,37620.0,37
128,MONSENHOR GIL,110770.0,107
129,MONSENHOR HIPOLITO,119130.0,114
130,MONTE ALEGRE DO PIAUI,54340.0,53
131,MORRO CABECA NO TEMPO,4180.0,4
132,MORRO DO CHAPEU DO PIAUI,21945.0,22
133,MURICI DOS PORTELAS,28215.0,28
134,NAZARE DO PIAUI,65835.0,64
135,NAZARIA,71060.0,69
136,NOSSA SENHORA DE NAZARE,36575.0,36
137,NOSSA SENHORA DOS REMEDIOS,39710.0,39
138,NOVO ORIENTE DO PIAUI,49115.0,48
139,NOVO SANTO ANTONIO,36575.0,36
140,OEIRAS,1770230.0,1695
141,OLHO D'AGUA DO PIAUI,4180.0,5
142,PADRE MARCOS,107635.0,104
143,PAES LANDIM,15675.0,16
144,PAJEU DO PIAUI,5225.0,5
145,PALMEIRA DO PIAUI,48070.0,47
146,PALMEIRAIS,114950.0,111
147,PAQUETA,15675.0,16
148,PARNAGUA,68970.0,67
149,PARNAIBA,5771537.44,5522
150,PASSAGEM FRANCA DO PIAUI,18810.0,19
151,PATOS DO PIAUI,17765.0,18
152,PAU D'ARCO DO PIAUI,1045.0,1
153,PAULISTANA,932140.5,893
154,PAVUSSU,4180.0,4
155,PEDRO II,1120240.05,1072
156,PEDRO LAURENTINO,7315.0,7
157,NOVA SANTA RITA,14630.0,15
158,PICOS,4162235.81,3984
159,PIMENTEIRAS,66880.5,65
160,PIO IX,250800.0,241
161,PIRACURUCA,1267585.0,1213
162,PIRIPIRI,2516363.04,2409
163,PORTO,55385.0,54
164,PORTO ALEGRE DO PIAUI,8360.0,9
165,PRATA DO PIAUI,14630.0,15
166,QUEIMADA NOVA,32395.0,32
167,REDENCAO DO GURGUEIA,75240.0,73
168,REGENERACAO,332310.0,319
169,RIACHO FRIO,34485.0,30
170,RIBEIRA DO PIAUI,12540.0,13
171,RIBEIRO GONCALVES,100320.0,97
172,RIO GRANDE DO PIAUI,22990.0,23
173,SANTA CRUZ DO PIAUI,54340.0,53
174,SANTA CRUZ DOS MILAGRES,9405.0,10
175,SANTA FILOMENA,52250.0,51
176,SANTA LUZ,42845.0,42
177,SANTANA DO PIAUI,15675.0,16
178,SANTA ROSA DO PIAUI,36575.0,36
179,SANTO ANTONIO DE LISBOA,57475.0,56
180,SANTO ANTONIO DOS MILAGRES,1045.0,1
181,SANTO INACIO DO PIAUI,45980.0,45
182,SAO BRAZ DO PIAUI,25080.0,25
183,SAO FELIX DO PIAUI,11495.0,12
184,SAO FRANCISCO DE ASSIS DO PIAUI,38665.0,38
185,SAO FRANCISCO DO PIAUI,60610.0,59
186,SAO GONCALO DO GURGUEIA,16720.0,17
187,SAO GONCALO DO PIAUI,31350.0,31
188,SAO JOAO DA CANABRAVA,65835.0,64
189,SAO JOAO DA FRONTEIRA,29260.0,29
190,SAO JOAO DA SERRA,19855.0,20
191,SAO JOAO DA VARJOTA,18810.0,19
192,SAO JOAO DO ARRAIAL,66880.0,65
193,SAO JOAO DO PIAUI,1220560.0,1169
194,SAO JOSE DO DIVINO,57475.0,56
195,SAO JOSE DO PEIXE,16720.0,17
196,SAO JOSE DO PIAUI,40755.0,40
197,SAO JULIAO,36575.0,36
198,SAO LOURENCO DO PIAUI,22990.0,23
199,SAO LUIS DO PIAUI,12540.0,13
200,SAO MIGUEL DA BAIXA GRANDE,27170.0,27
201,SAO MIGUEL DO FIDALGO,24035.0,24
202,SAO MIGUEL DO TAPUIO,257070.0,247
203,SAO PEDRO DO PIAUI,243485.0,234
204,SAO RAIMUNDO NONATO,1932205.0,1847
205,SEBASTIAO BARROS,34485.0,34
206,SEBASTIAO LEAL,12540.0,13
207,SIGEFREDO PACHECO,59565.0,58
208,SIMOES,145255.0,139
209,SIMPLICIO MENDES,386650.0,371
210,SOCORRO DO PIAUI,28215.0,28
211,SUSSUAPARA,50160.0,49
212,TAMBORIL DO PIAUI,7315.0,7
213,TANQUE DO PIAUI,13585.0,14
214,TERESINA,26267124.43,25133
215,UNIAO,1117105.0,1069
216,URUCUI,558030.5,532
217,VALENCA DO PIAUI,1016785.0,974
218,VARZEA BRANCA,35530.0,35
219,VARZEA GRANDE,47025.0,46
220,VERA MENDES,12540.0,13
221,VILA NOVA DO PIAUI,13585.0,14
222,WALL FERRAZ,14630.0,15
