Piau&iacute; | Todos os Munic&iacute;pios;;;;;;;;;;;;;;;;;;;;;
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2017],&Aacute;rea Territorial - km&sup2; [2019],Popula&ccedil;&atilde;o estimada - pessoas [2020],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2016],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2017],
Acau&atilde;,2200053,acau&atilde;nense,REGINALDO RAIMUNDO RODRIGUES,1279.586,7102,5.27,97.5,0.528,38.10,16160.54709,15755.32908,6370.50,;;;;;;;;;;;;;;;;;;;;;
Agricol&acirc;ndia,2200103,agricolandiense,WALTER RIBEIRO ALENCAR,112.392,5131,45.35,97.5,0.599,27.40,14873.8781,13709.29798,6755.76,;;;;;;;;;;;;;;;;;;;;;;
&Aacute;gua Branca,2200202,&aacute;gua-branquense,JONAS MOURA DE ARA&Uacute;JO,97.041,17470,169.53,98.6,0.639,19.48,49509.45311,44495.9755,10704.23,;;;;;;;;;;;;;;;;;;;;
Alagoinha do Piau&iacute;,2200251,alagoinense,JORISMAR JOSE DA ROCHA,535.807,7665,13.77,93.6,0.531,35.29,15041.13957,15044.56951,6594.39,;;;;;;;;;;;;;;;;;;;;;;
Alegrete do Piau&iacute;,2200277,alegretense,MARCIO WILLIAN MAIA ALENCAR,243.732,4918,18.23,96.7,0.585,12.99,14928.46141,13272.15253,6976.90,;;;;;;;;;;;;;;;;;;;;;;
Alto Long&aacute;,2200301,longaense,HENRIQUE CESAR SARAIVA DE AREA LEAO COST,1737.836,14339,7.85,97.9,0.585,13.70,26948.2862,24944.33159,6334.59,;;;;;;;;;;;;;;;;;;;;;;
Altos,2200400,altoense,PATRICIA MARA DA SILVA LEAL PINHEIRO,957.654,40605,40.54,97.6,0.614,14.00,76062.83273,77121.44553,9354.21,;;;;;;;;;;;;;;;;;;;;;;;
Alvorada do Gurgu&eacute;ia,2200459,alvoradense,LUIS RIBEIRO MARTINS,2131.920,5445,2.37,97.4,0.578,21.98,12704.89339,16035.83468,13884.66,;;;;;;;;;;;;;;;;;;;;;;
Amarante,2200509,amarantino,DIEGO LAMARTINE SOARES TEIXEIRA,1155.205,17604,14.83,97.2,0.598,40.15,34052.82746,33595.22255,7765.73,;;;;;;;;;;;;;;;;;;;;;;;
Angical do Piau&iacute;,2200608,angicalense,MARIA NETA DE SOUZA SANTOS NUNES,223.060,6783,29.86,96.9,0.630,11.76,19912.12001,17634.26604,8267.16,;;;;;;;;;;;;;;;;;;;;;;
An&iacute;sio de Abreu,2200707,anisiense,RAIMUNDO NEI ANTUNES RIBEIRO,337.877,9938,26.93,98.3,0.594,24.19,16654.77945,19520.38605,6878.17,;;;;;;;;;;;;;;;;;;;;;;
Ant&ocirc;nio Almeida,2200806,ant&ocirc;nio-almeidense,JOAO BATISTA CAVALCANTE COSTA,645.748,3170,4.71,99.6,0.620,48.78,14255.06231,12666.40607,22675.63,;;;;;;;;;;;;;;;;;;;;;
Aroazes,2200905,aroazense,ANTONIO TOM&Eacute; SOARES DE CARVALHO NETO,821.212,5827,7.03,98.9,0.583,11.63,11874.16985,15119.63843,7876.10,;;;;;;;;;;;;;;;;;;;;;;
Aroeiras do Itaim,2200954,aroeirense,WESLEY GON&Ccedil;ALVES DE DEUS,316.235,2551,9.49,94.2,0.519,52.63,10853.888,10178.68158,7152.73,;;;;;;;;;;;;;;;;;;;;;;
Arraial,2201002,arraialense,NUMAS PEREIRA PORTO,682.761,4720,6.87,97.7,0.560,50.00,12540.64856,12655.55254,7362.69,;;;;;;;;;;;;;;;;;;;;;;;
Assun&ccedil;&atilde;o do Piau&iacute;,2201051,assun&ccedil;&atilde;oense,ANTONIO LUIZ NETO,1690.703,7863,4.44,97.9,0.499,34.48,19338.26341,19787.25086,6140.74,;;;;;;;;;;;;;;;;;;
Avelino Lopes,2201101,avelino-lopense,DIOSTENES JOSE ALVES,1218.072,11326,8.48,97.2,0.554,5.26,24904.75054,25656.75871,6759.80,;;;;;;;;;;;;;;;;;;;;;;;
Baixa Grande do Ribeiro,2201150,baixagrandense do ribeiro,OZIRES CASTRO SILVA,7808.915,11671,1.35,96.4,0.564,20.00,48566.32125,40902.55603,65454.41,;;;;;;;;;;;;;;;;;;;;;;;
Barra D'Alc&acirc;ntara,2201176,barra d&rsquo;alcantarense,FRANCISCO CLAUDISON DE BRITO SOUSA,263.382,3952,14.63,96,0.577,45.45,13086.03847,12041.093,8323.45,;;;;;;;;;;;;;;;;;;;;;
Barras,2201200,barrense,CARLOS ALBERTO LAGES MONTE,1722.507,47185,26.08,97.5,0.595,12.20,86163.37267,83754.54339,7975.43,;;;;;;;;;;;;;;;;;;;;;;;
Barreiras do Piau&iacute;,2201309,barreirense,MAURICIO NETO PARENTE LACERDA,2167.986,3352,1.59,98.5,0.557,25.64,12570.74745,11026.89113,7353.81,;;;;;;;;;;;;;;;;;;;;;;
Barro Duro,2201408,barro-durense,DEUSDETE LOPES DA SILVA,159.429,7027,50.39,96.9,0.612,10.64,17752.63641,15108.95745,8959.53,;;;;;;;;;;;;;;;;;;;;;;;
Batalha,2201507,batalhense,JO&Atilde;O MESSIAS FREITAS MELO,1589.010,26905,16.22,99.2,0.545,17.05,49044.41092,44793.07328,6716.93,;;;;;;;;;;;;;;;;;;;;;;
Bela Vista do Piau&iacute;,2201556,bela  vistense,ELOISIO RAIMUNDO COELHO,499.092,4030,7.57,97.6,0.576,51.28,12210.81061,11440.78072,8391.92,;;;;;;;;;;;;;;;;;;;;;;
Bel&eacute;m do Piau&iacute;,2201572,belenense,ADEMAR ALU&Iacute;SIO DE CARVALHO,243.531,3587,13.50,97,0.551,25.64,14611.0105,12829.75964,7629.38,;;;;;;;;;;;;;;;;;;;;
Beneditinos,2201606,beneditinense,JULLYVAN MENDES DE MESQUITA,934.843,10473,12.57,97.2,0.557,49.59,24497.56423,23772.13765,6894.41,;;;;;;;;;;;;;;;;;;;;;;;
Bertol&iacute;nia,2201705,bertolinense,LUCIANO FONSECA DE SOUSA,1225.335,5507,4.34,97.6,0.612,57.97,15518.13488,15996.48283,9849.40,;;;;;;;;;;;;;;;;;;;;;;
Bet&acirc;nia do Piau&iacute;,2201739,betanhense,FABIO DE CARVALHO MACEDO,580.917,6210,10.65,97,0.489,9.62,16817.08081,14918.93213,7125.17,;;;;;;;;;;;;;;;;;;;;;
Boa Hora,2201770,boa horense,FRANCIEUDO DO NASCIMENTO CARVALHO,336.954,6815,18.65,99,0.575,60.98,17305.49794,14785.13719,6860.51,;;;;;;;;;;;;;;;;;;;;;;;
Bocaina,2201804,bocainense,ERIVELTO DE S&Aacute; BARROS,261.651,4505,16.27,97.4,0.632,51.28,12638.70018,11797.66217,10930.77,;;;;;;;;;;;;;;;;;;;;;;
Bom Jesus,2201903,bom-jesuense,MARCOS ANTONIO PARENTE ELVAS COELHO,5469.367,25387,4.14,97.9,0.668,14.99,79178.08164,71112.23929,35355.77,;;;;;;;;;;;;;;;;;;;;;;;
Bom Princ&iacute;pio do Piau&iacute;,2201919,bomprincipiense,FRANCISCO APOLINARIO COSTA MORAES,523.142,5651,10.17,97.7,0.532,10.00,20874.56948,18887.2954,8872.39,;;;;;;;;;;;;;;;;;;;;;
Bonfim do Piau&iacute;,2201929,bonfinense,PAULO HENRIQUE VIANA PINDAIBA,289.210,5685,18.65,97.6,0.542,9.71,14484.62014,12636.26994,6575.24,;;;;;;;;;;;;;;;;;;;;;;
Boqueir&atilde;o do Piau&iacute;,2201945,boqueir&atilde;oense,VALDEMIR ALVES DA SILVA,269.802,6426,22.25,98.8,0.560,47.06,17395.29617,17040.86349,6380.50,;;;;;;;;;;;;;;;;;;;;
Brasileira,2201960,brasileirense,PAULA MIRANDA AMORIM ARAUJO,880.341,8347,9.04,96.7,0.577,20.00,17701.48656,15972.80506,6547.48,;;;;;;;;;;;;;;;;;;;;;;;
Brejo do Piau&iacute;,2201988,brejense,EDSON RIBEIRO COSTA,2267.327,3848,1.76,98,0.515,22.22,13199.13833,11973.93712,8314.84,;;;;;;;;;;;;;;;;;;;;;;
Buriti dos Lopes,2202000,buritiense,RAIMUNDO NONATO LIMA PERCY JUNIOR,689.234,19807,27.60,97.5,0.565,12.20,48728.6754,47101.81438,8074.75,;;;;;;;;;;;;;;;;;;;;;;;
Buriti dos Montes,2202026,buritiense,JOS&Eacute; VALMI SOARES,2437.326,8264,3.01,98.3,0.574,11.49,19029.12282,17673.23909,6329.24,;;;;;;;;;;;;;;;;;;;;;;
Cabeceiras do Piau&iacute;,2202059,cabeceirense,JOS&Eacute; JOAQUIM DE SOUSA CARVALHO,608.804,10630,16.31,98.3,0.583,9.90,21929.2054,19941.96965,5677.72,;;;;;;;;;;;;;;;;;;;;;
Cajazeiras do Piau&iacute;,2202075,cajazerense,ALDEMAR DA SILVA CARMO NETO,514.364,3573,6.50,99.2,0.562,23.26,13049.22464,11668.39404,7267.45,;;;;;;;;;;;;;;;;;;;;;;
Cajueiro da Praia,2202083,pratense,GIRVALDO ALBUQUERQUE DA SILVA,271.165,7674,26.36,95,0.546,21.51,21028.98134,16097.93475,10858.69,;;;;;;;;;;;;;;;;;;;;;;;
Caldeir&atilde;o Grande do Piau&iacute;,2202091,caldeir&atilde;o grandense,JO&Atilde;O VIANNEY DE SOUSA ALENCAR,467.083,5781,11.46,98.1,0.588,15.38,16301.69324,16306.39202,8006.06,;;;;;;;;;;;;;;;;;;;
Campinas do Piau&iacute;,2202109,campinense,VALDINEI CARVALHO DE MACEDO,783.842,5620,6.51,97.8,0.544,35.71,10643.50329,10018.17902,7643.59,;;;;;;;;;;;;;;;;;;;;;;
Campo Alegre do Fidalgo,2202117,campo alegrense,ISRAEL ODILIO DA MATA,657.796,5069,7.13,97.5,0.537,16.67,15672.64701,14813.34709,6844.31,;;;;;;;;;;;;;;;;;;;;;;;
Campo Grande do Piau&iacute;,2202133,campo grandense,JO&Atilde;O BATISTA DE OLIVEIRA,311.829,5965,17.93,98.5,0.560,20.20,15285.28836,14151.13115,8521.91,;;;;;;;;;;;;;;;;;;;;;
Campo Largo do Piau&iacute;,2202174,campolargoense,ROMULO AECIO SOUSA,477.629,7311,14.24,97.2,0.528,41.67,20887.40093,19920.07183,5830.55,;;;;;;;;;;;;;;;;;;;;;;
Campo Maior,2202208,campo-maiorense,JOSE DE RIBAMAR CARVALHO,1680.803,46893,26.96,98.3,0.656,13.22,126013.08141,116143.09156,11812.56,;;;;;;;;;;;;;;;;;;;;;;;
Canavieira,2202251,canavieirense,JOAN DE ALBUQUERQUE ROCHA,2162.874,3944,1.81,99.6,0.583,32.26,13056.89324,12406.04161,8056.31,;;;;;;;;;;;;;;;;;;;;;;;
Canto do Buriti,2202307,canto-buritiense,MARCOS NUNES CHAVES,4325.643,21258,4.63,96.6,0.576,22.39,43355.64482,43510.91874,9961.37,;;;;;;;;;;;;;;;;;;;;;;;
Capit&atilde;o de Campos,2202406,capit&atilde;o-de-campense,FRANCISCO MEDEIROS DE CARVALHO FILHO,569.889,11445,18.50,98.6,0.583,11.90,28428.6271,25735.02893,7353.96,;;;;;;;;;;;;;;;;;;;;;
Capit&atilde;o Gerv&aacute;sio Oliveira,2202455,gervasense,GABRIELA OLIVEIRA COELHO DA LUZ,1134.168,4114,3.42,98.7,0.553,20.83,12971.59045,12609.16642,7476.48,;;;;;;;;;;;;;;;;;;;;;
Caracol,2202505,caracolense,GILSON DIAS DE MACEDO FILHO,1610.959,10964,6.34,96.6,0.552,40.40,22206.51457,21687.87596,6448.28,;;;;;;;;;;;;;;;;;;;;;;;
Cara&uacute;bas do Piau&iacute;,2202539,carubense,JOAO COELHO DE SANTANA,471.242,5890,11.72,93.9,0.505,50.00,15487.27767,13304.33687,7788.66,;;;;;;;;;;;;;;;;;;;;;
Caridade do Piau&iacute;,2202554,caridadense,ANTONIEL DE SOUSA SILVA,498.793,5085,9.63,99.4,0.541,24.39,6945.47181,15189.00624,6595.36,;;;;;;;;;;;;;;;;;;;;;;
Castelo do Piau&iacute;,2202604,castelense,JOS&Eacute; MAGNO SOARES DA SILVA,2378.847,19715,9.01,98,0.587,12.82,40397.05751,40490.66008,8210.82,;;;;;;;;;;;;;;;;;;;;;
Caxing&oacute;,2202653,caxingoense,WASHINGTON LUIZ BRITO DE SOUSA,491.063,5451,10.32,96.8,0.488,39.60,17074.0036,15928.10517,8197.23,;;;;;;;;;;;;;;;;;;;;;;
Cocal,2202703,cocalense,RUBENS DE SOUSA VIEIRA,1294.125,27845,20.51,96.2,0.497,14.35,51963.96383,49855.82762,7733.23,;;;;;;;;;;;;;;;;;;;;;;;
Cocal de Telha,2202711,cocatelhense,ANA C&Eacute;LIA DA COSTA SILVA,310.346,4899,16.04,98.8,0.555,30.77,264.7739,16254.48632,7795.01,;;;;;;;;;;;;;;;;;;;;;;
Cocal dos Alves,2202729,cocalalvense,OSMAR DE SOUSA VIEIRA,324.863,6168,15.58,96.3,0.498,32.26,14932.21411,13487.03631,7342.47,;;;;;;;;;;;;;;;;;;;;;;;
Coivaras,2202737,coivarense,MARCELINO ALMEIDA DE ARA&Uacute;JO,485.496,4032,7.85,98.1,0.565,41.67,12496.15711,11912.9102,7528.39,;;;;;;;;;;;;;;;;;;;;;;
Col&ocirc;nia do Gurgu&eacute;ia,2202752,coloniense,ALCILENE ALVES DE ARA&Uacute;JO,430.621,6516,14.02,98.8,0.628,12.35,17694.1347,15104.88096,8208.72,;;;;;;;;;;;;;;;;;;;;
Col&ocirc;nia do Piau&iacute;,2202778,coloniense,LUCIA DE FATIMA BARROSO MOURA DE ABREU S,947.879,7661,7.84,98.6,0.588,9.80,18975.35796,17220.53398,6838.46,;;;;;;;;;;;;;;;;;;;;;
Concei&ccedil;&atilde;o do Canind&eacute;,2202802,concei&ccedil;&atilde;onense,ALCIMIRO PINHEIRO DA COSTA,824.729,4807,5.38,96.8,0.589,12.99,14369.50405,13645.26965,9001.23,;;;;;;;;;;;;;;;;;;
Coronel Jos&eacute; Dias,2202851,coronelino,MANOEL OLIVEIRA GALV&Atilde;O,1914.833,4685,2.37,96.9,0.546,40.82,13859.0412,12836.63545,6990.47,;;;;;;;;;;;;;;;;;;;;;
Corrente,2202901,correntino,GLADSON MURILO MASCARENHAS RIBEIRO,3048.446,26709,8.33,97.3,0.642,8.89,3048.99141,47744.75293,14540.63,;;;;;;;;;;;;;;;;;;;;;;;
Cristal&acirc;ndia do Piau&iacute;,2203008,cristalandense,ARIANO MESSIAS NOGUEIRA PARANAGUA,1202.896,8323,6.51,96.9,0.573,20.62,16982.87116,15378.65219,6590.56,;;;;;;;;;;;;;;;;;;;;;
Cristino Castro,2203107,cristino-castrense,MANOEL PEREIRA DE SOUSA JUNIOR,1846.193,10444,5.41,97.9,0.566,6.21,32075.55822,27704.3474,9659.51,;;;;;;;;;;;;;;;;;;;;;;;
Curimat&aacute;,2203206,curimataense,VALDECIR RODRIGUES DE ALBUQUERQUE JUNIOR,2344.655,11426,4.60,97.6,0.607,16.13,24055.05838,21122.68328,7938.47,;;;;;;;;;;;;;;;;;;;;;;
Currais,2203230,curralense,RAIMUNDO DE SOUSA SANTOS,3156.657,4968,1.49,98.6,0.542,14.29,23189.89072,15583.21269,32119.24,;;;;;;;;;;;;;;;;;;;;;;;
Curralinhos,2203255,curralinhense,FRANCISCO ALCIDES MACHADO OLIVEIRA,345.848,4459,12.09,84.7,0.555,29.41,13668.67189,12623.91663,5986.56,;;;;;;;;;;;;;;;;;;;;;;;
Curral Novo do Piau&iacute;,2203271,curral novense,ABEL FRANCISCO DE OLIVEIRA JUNIOR,755.251,5367,6.47,95.6,0.527,27.40,16920.99427,13704.25895,57549.37,;;;;;;;;;;;;;;;;;;;;;;
Demerval Lob&atilde;o,2203305,morrinhense,LUIS GONZAGA DE CARVALHO JUNIOR,216.807,13840,61.24,97.9,0.618,15.15,32040.05026,29658.87834,9802.05,;;;;;;;;;;;;;;;;;;;;;;
Dirceu Arcoverde,2203354,arcoverdense,CARLOS GOMES DE OLIVEIRA,1017.057,7029,6.56,97.5,0.561,10.42,N&atilde;o informado,N&atilde;o informado,6413.86,;;;;;;;;;;;;;;;;;;;;;
Dom Expedito Lopes,2203404,dom-expedito-lopense,VALMIR BARBOSA DE ARA&Uacute;JO,218.710,6922,29.99,98.5,0.601,10.87,15381.40465,13068.66454,9856.15,;;;;;;;;;;;;;;;;;;;;;;
Domingos Mour&atilde;o,2203420,domingos-mouronense,JULIO CESAR BARBOSA FRANCO,848.705,4354,5.04,95.8,0.550,16.95,12625.57011,11843.98706,7443.37,;;;;;;;;;;;;;;;;;;;;;;
Dom Inoc&ecirc;ncio,2203453,inocentino,MARIA DAS VIRGENS DIAS,3870.167,9565,2.39,98.4,0.549,13.33,20616.96655,18661.41778,6031.27,;;;;;;;;;;;;;;;;;;;;;;
Elesb&atilde;o Veloso,2203503,elesbonense,JOSE RONALDO GOMES BARBOSA,1383.978,14575,10.77,98.9,0.580,19.35,29373.79818,27174.11646,8603.12,;;;;;;;;;;;;;;;;;;;;;;
Eliseu Martins,2203602,eliseu-martinino,MARCOS AURELIO GUIMARAES DE ARAUJO,1090.450,4930,4.28,98.4,0.595,20.00,14592.82853,13664.54798,8449.29,;;;;;;;;;;;;;;;;;;;;;;;
Esperantina,2203701,esperantinense,VILMA CARVALHO AMORIM,908.777,39848,41.45,97.5,0.605,12.33,72886.22848,71734.37787,8659.36,;;;;;;;;;;;;;;;;;;;;;;;
Fartura do Piau&iacute;,2203750,farturense,LA&Ecirc;NIO ROMMEL RODRIGUES MAC&Ecirc;DO,712.918,5319,7.12,96.3,0.548,38.96,6866.75212,11281.58375,5340.05,;;;;;;;;;;;;;;;;;;;;
Flores do Piau&iacute;,2203800,florentino-do-piau&iacute;,ADINAEL RODRIGUES DE BARROS,946.719,4462,4.61,99,0.547,16.13,13043.44806,11655.99295,8201.11,;;;;;;;;;;;;;;;;;;;;;
Floresta do Piau&iacute;,2203859,florestense,AMILTON RODRIGUES DE SOUSA,223.218,2560,12.75,99.3,0.538,58.82,5088.68243,5515.7882,7942.88,;;;;;;;;;;;;;;;;;;;;;;
Floriano,2203909,florianense,JOEL RODRIGUES DA SILVA,3409.647,60025,16.92,98.1,0.700,16.34,141641.34217,120928.52775,17285.07,;;;;;;;;;;;;;;;;;;;;;;;
Francin&oacute;polis,2204006,francinopolitano,PAULO CESAR RODRIGUES DE MORAIS,268.702,5347,19.48,97.5,0.564,17.24,12864.19584,11575.86989,6868.65,;;;;;;;;;;;;;;;;;;;;;;
Francisco Ayres,2204105,airense,VALKIR NUNES DE OLIVEIRA,656.475,4323,6.82,98.1,0.577,15.63,12745.84827,11909.83512,8494.75,;;;;;;;;;;;;;;;;;;;;;;;
Francisco Macedo,2204154,francisco macedense,RAIMUNDO NONATO DE ALENCAR,176.505,3200,18.54,97.8,0.553,51.28,11489.26019,10311.65617,7447.46,;;;;;;;;;;;;;;;;;;;;;;;
Francisco Santos,2204204,francisco-santense,LUIS JOS&Eacute; DE BARROS,491.865,9372,17.47,97.4,0.608,10.31,19697.26269,16931.93601,6805.65,;;;;;;;;;;;;;;;;;;;;;;
Fronteiras,2204303,fronteirense,MARIA JOSE AYRES DE SOUSA,778.204,11659,14.33,97.5,0.619,16.81,37581.59783,31546.01684,12782.88,;;;;;;;;;;;;;;;;;;;;;;;
Geminiano,2204352,geminianense,ERCULANO EDIMILSON DE CARVALHO,441.336,5460,11.84,97,0.561,22.73,14154.26818,12016.40949,7979.84,;;;;;;;;;;;;;;;;;;;;;;;
Gilbu&eacute;s,2204402,gilbuense,LEONARDO DE MORAIS MATOS,3494.953,10694,2.98,93.7,0.548,24.51,25861.84513,25369.73599,17665.72,;;;;;;;;;;;;;;;;;;;;;;
Guadalupe,2204501,guadalupense,MARIA JOZENEIDE FERNANDES LIMA,1023.592,10497,10.03,98.8,0.650,15.79,26771.74477,26817.43176,51697.69,;;;;;;;;;;;;;;;;;;;;;;;
Guaribas,2204550,guaribano,CLAUDINE MATIAS MAIA,3118.231,4568,1.41,98.2,0.508,11.90,13595.51123,12681.98387,6833.16,;;;;;;;;;;;;;;;;;;;;;;;
Hugo Napole&atilde;o,2204600,hugo-napoleonense,HELIO RODRIGUES ALVES,224.455,3879,16.80,96.8,0.599,21.28,13171.38105,12298.23884,7009.48,;;;;;;;;;;;;;;;;;;;;;;
Ilha Grande,2204659,ilhagrandense,HERBERT DE MORAES E SILVA,134.015,9457,66.36,98.1,0.563,18.29,19581.58151,18923.82527,7363.74,;;;;;;;;;;;;;;;;;;;;;;;
Inhuma,2204709,inhumense,ANT&Ocirc;NIO RUFINO DA SILVA J&Uacute;NIOR,978.222,15319,15.18,98.8,0.624,10.87,28264.54945,27340.8185,8119.96,;;;;;;;;;;;;;;;;;;;;;
Ipiranga do Piau&iacute;,2204808,ipiranguense,JOSE SANTOS REGO,529.417,9838,17.67,94.9,0.630,18.69,24167.26633,21329.6211,7089.66,;;;;;;;;;;;;;;;;;;;;;;
Isa&iacute;as Coelho,2204907,isaiense,FRANCISCO EUDES CASTELO BRANCO NUNES,800.688,8566,10.59,95,0.582,16.13,18542.51204,17138.25662,6378.94,;;;;;;;;;;;;;;;;;;;;;;
Itain&oacute;polis,2205003,itainopolense,PAULO LOPES MOREIRA,827.620,11551,13.41,97.1,0.541,16.95,28404.00061,25724.92413,7035.48,;;;;;;;;;;;;;;;;;;;;;;
Itaueira,2205102,itaueirense,QUIRINO DE ALENCAR AVELINO,2554.179,11028,4.18,98.7,0.583,14.71,46576.98933,25063.51458,10054.21,;;;;;;;;;;;;;;;;;;;;;;;
Jacobina do Piau&iacute;,2205151,jacobinense,GEDERLANIO RODRIGUES DE OLIVEIRA,1333.796,5729,4.17,97.7,0.535,36.36,14931.85453,13966.90395,7618.34,;;;;;;;;;;;;;;;;;;;;;;
Jaic&oacute;s,2205201,jaicoense,OGILVAN DA SILVA OLIVEIRA,865.144,19170,20.85,95.1,0.524,11.03,40164.52849,36286.00057,8524.39,;;;;;;;;;;;;;;;;;;;;;;
Jardim do Mulato,2205250,jardimulatense,AIRTON JOSE DA COSTA VELOSO,509.850,4513,8.45,98.9,0.593,18.52,12658.3486,12596.03812,6648.42,;;;;;;;;;;;;;;;;;;;;;;;
Jatob&aacute; do Piau&iacute;,2205276,jatobaense,JOS&Eacute; CARLOS GOMES BANDEIRA,650.681,4875,7.13,98.9,0.566,21.74,14837.05033,14596.88111,8365.67,;;;;;;;;;;;;;;;;;;;;
Jerumenha,2205300,jerumenhense,ALDARA ROCHA LEAL VILAR PINTO,1867.313,4447,2.35,97.4,0.591,15.15,13145.21821,12126.03938,9894.35,;;;;;;;;;;;;;;;;;;;;;;;
Jo&atilde;o Costa,2205359,jo&atilde;o costense,GILSON CASTRO DE ASSIS,1800.230,3005,1.64,96.9,0.561,27.78,17953.77877,14078.3885,8764.72,;;;;;;;;;;;;;;;;;;;;;
Joaquim Pires,2205409,joaquim-pirense,GENIVAL BEZERRA DA SILVA,739.979,14376,18.68,96.2,0.522,4.50,31352.2017,27395.78493,6412.45,;;;;;;;;;;;;;;;;;;;;;;;
Joca Marques,2205458,jocamarquense,EDILBERTO AGUIAR MARQUES FILHO,166.443,5466,30.64,97.2,0.504,36.14,15922.93451,15337.89776,6448.87,;;;;;;;;;;;;;;;;;;;;;;;
Jos&eacute; de Freitas,2205508,freitense,ROGER COQUEIRO LINHARES,1538.172,39336,24.11,98.7,0.618,19.45,75540.51965,70167.4135,8292.47,;;;;;;;;;;;;;;;;;;;;;;
Juazeiro do Piau&iacute;,2205516,juazeirense,JOS&Eacute; VALDO SOARES ROCHA,935.404,5485,5.75,99.1,0.570,17.54,15591.98768,13401.04814,7738.00,;;;;;;;;;;;;;;;;;;;;;
J&uacute;lio Borges,2205524,julio borgense,EDUARDO HENRIQUE DE CASTRO ROCHA,1283.916,5640,4.14,98.6,0.582,10.42,15551.68152,15017.77043,7309.32,;;;;;;;;;;;;;;;;;;;;;;
Jurema,2205532,juremense,ELDER DA ROCHA SOUZA,1271.881,4777,3.55,99.2,0.555,31.25,16611.09069,15242.10304,7532.04,;;;;;;;;;;;;;;;;;;;;;;;
