MUNICIPIO,VALOR_BF,QTD_BF,VALOR_AE,QTD_AE,VALOR_BPC,QTD_BPC,CONF,OBT,INC
ACAUA,37.02865612648221,0.19282891022021456,254.43252399774138,0.3929983060417843,2.2127329192546585,0.002258610954263128,0.005364201016374929,0.0,53.64
AGRICOLANDIA,42.09534928974509,0.18057987935395992,285.1138353765324,0.4232340922358436,17.48783810079782,0.016929363689433742,0.010897061685152754,0.0,108.97
AGUA BRANCA,28.252196887025445,0.14163459881683993,248.18792717247717,0.3491470909195336,41.47349376830739,0.03974498880018379,0.05255298374590776,0.0020676583768881743,525.53
ALAGOINHA DO PIAUI,36.072539537315386,0.20219579139981703,267.10233956345576,0.3919749052411449,15.024179845771794,0.014507907463076722,0.012285975689452359,0.00013070186903672723,122.86
ALEGRETE DO PIAUI,37.49481180061038,0.17741607324516787,291.02746693794506,0.38942014242115974,8.929806714140387,0.008748728382502543,0.025025432349949136,0.0,250.25
ALTO LONGA,31.635346756152124,0.18099832214765102,250.58724832214764,0.3631851230425056,7.963157158836689,0.007690156599552573,0.010206935123042505,0.00034955257270693514,102.07
ALTOS,16.169356430757084,0.1046787089132366,246.26887770210246,0.34473398479913137,31.460369163952226,0.030105616424834666,0.032746027045701315,0.00046885796071463826,327.46
ALVORADA DO GURGUEIA,51.204465768591994,0.17715445654179737,265.0673556006643,0.39361505812880604,6.170880236205942,0.006089684443624285,0.007750507473703636,0.0003690717844620779,77.51
AMARANTE,47.19405614274349,0.1832026366632572,262.63211728605523,0.37214456188203204,39.90456926923514,0.03807250823957268,0.018070235254006136,0.00034094783498124785,180.7
ANGICAL DO PIAUI,45.259870359457864,0.2452857984678845,306.3641720683559,0.4192692987625221,25.86328815556865,0.024896876841484974,0.013847967000589274,0.00044195639363582795,138.48
ANISIO DE ABREU,26.27753036437247,0.17034412955465586,244.0080971659919,0.357085020242915,11.740384615384615,0.011336032388663968,0.009716599190283401,0.0,97.17
ANTONIO ALMEIDA,41.8365992414665,0.15992414664981036,235.71428571428572,0.35082174462705434,4.95417193426043,0.0050568900126422255,0.06605562579013906,0.0003160556257901391,660.56
AROAZES,46.026735218508996,0.18560411311053984,286.7866323907455,0.4003427592116538,5.730934018851757,0.005655526992287918,0.008911739502999142,0.0005141388174807198,89.12
AROEIRAS DO ITAIM,30.20109760878087,0.195609564876519,288.35750686005485,0.41081928655429245,0.8192865542924344,0.0011760094080752645,0.025872206977655823,0.0003920031360250882,258.72
ARRAIAL,38.877935265496085,0.18066426909244765,260.3342500528877,0.3854453141527396,4.200338481066216,0.0042310133276919825,0.0029617093293843877,0.0,29.62
ASSUNCAO DO PIAUI,34.39969411164925,0.1651797094060668,257.78740759622735,0.3919194494009686,3.0634081060412948,0.0030588835075197555,0.016186591893958706,0.0001274534794799898,161.87
AVELINO LOPES,57.59048631411108,0.22384622198600407,295.615200637789,0.4386570998316946,20.364957037824432,0.019576578970679423,0.0025688723536185665,0.00026574541589157585,25.69
BAIXA GRANDE DO RIBEIRO,39.28914206801312,0.16658035560158813,278.1460383221129,0.3505092352839634,3.156827205247713,0.0031071983428275505,0.09476954945624029,0.0007767995857068876,947.7
BARRA D'ALCANTARA,49.192609465957986,0.2105796001012402,278.2080485952923,0.40572007086813466,5.289800050620096,0.005315110098709187,0.002531004808909137,0.0002531004808909137,25.31
BARRAS,51.50917860026346,0.19774359410189946,298.02405133217184,0.4058768537797986,32.527195852632474,0.03114774996812986,0.053414354310967575,0.001126078273063358,534.14
BARREIRAS DO PIAUI,59.50925925925926,0.22939068100358423,308.9605734767025,0.43608124253285546,9.98805256869773,0.00985663082437276,0.007765830346475508,0.0,77.66
BARRO DURO,29.575511945392492,0.1995164960182025,280.3754266211604,0.3656143344709898,15.752275312855518,0.015073947667804323,0.05674061433447099,0.0008532423208191126,567.41
BATALHA,43.62222139479465,0.1788732918792121,264.2439587444614,0.382842461927989,19.06579290315374,0.018244777897754777,0.014893696243065123,0.00029787392486130244,148.94
BELA VISTA DO PIAUI,34.70336239103362,0.16861768368617683,260.47322540473226,0.4176836861768369,1.5616438356164384,0.0017434620174346202,0.00797011207970112,0.0,79.7
BELEM DO PIAUI,40.87661245092541,0.19321368480089737,268.3679192372406,0.391755468311834,5.567863151991026,0.005608524957936063,0.025518788558609087,0.0005608524957936063,255.19
BENEDITINOS,47.271615553644786,0.18343364860991687,267.12525078819147,0.40307633514856217,8.586032291965225,0.00821629884398586,0.023311359510843604,0.000764306869207987,233.11
BERTOLINIA,46.38447554990002,0.18578440283584802,278.02217778585714,0.3832030539901836,5.698963824759135,0.005635339029267406,0.056716960552626795,0.0007271405199054717,567.17
BETANIA DO PIAUI,47.129411764705885,0.216116035455278,300.7252215954875,0.46333601933924257,1.1788879935535859,0.0011281224818694602,0.004512489927477841,0.00016116035455278002,45.12
BOA HORA,66.8317357321929,0.25143784102639727,304.3798849727179,0.43680873027577055,0.924642383129332,0.0010322961215160006,0.013714791328712578,0.0,137.15
BOCAINA,31.574,0.152,215.6,0.32755555555555554,15.79111111111111,0.015333333333333332,0.02266666666666667,0.0,226.67
BOM JESUS,30.731879741054055,0.14941022280471822,277.70761348743,0.3730489693792446,43.494975972040194,0.041621986576115017,0.04515667818420112,0.0004765876325509353,451.57
BOM PRINCIPIO DO PIAUI,26.81474245115453,0.18046181172291298,303.6234458259325,0.46003552397868563,8.352575488454708,0.008170515097690942,0.007282415630550622,0.0005328596802841918,72.82
BONFIM DO PIAUI,42.92804232804233,0.18853615520282188,284.55026455026456,0.4365079365079365,14.559964726631394,0.014109347442680775,0.01199294532627866,0.0001763668430335097,119.93
BOQUEIRAO DO PIAUI,43.34228187919463,0.17980334009676915,273.4509130638364,0.3997190572810988,8.481348525050725,0.008272202278757608,0.021382862494147028,0.00015607928827844546,213.83
BRASILEIRA,33.127026053547844,0.1584824108536439,262.4324648817385,0.3574258614479529,12.170128466802737,0.01176611838155841,0.012846680273742346,0.00012006243246488174,128.47
BREJO DO PIAUI,68.01316129032259,0.24258064516129033,300.541935483871,0.45083870967741935,0.8090322580645162,0.0007741935483870968,0.002838709677419355,0.0,28.39
BURITI DOS LOPES,49.19271017643193,0.18497548152267326,283.81780496435977,0.398665385976442,21.765343005914765,0.020878620898842324,0.03624690359435822,0.0006066427379808907,362.47
BURITI DOS MONTES,45.86438622028142,0.18037360504609412,250.36390101892286,0.38100436681222705,5.070354196991752,0.004973313925278991,0.0032751091703056767,0.00012130033964095099,32.75
CABECEIRAS DO PIAUI,44.07150954090308,0.1696580389193274,250.12280370300397,0.3559418099376535,4.8370489325524275,0.004723219346306443,0.019554128093708673,0.0003778575477045154,195.54
CAJAZEIRAS DO PIAUI,24.735880865411634,0.1264400112391121,222.70300646248947,0.33464456307951673,3.2298398426524306,0.0033717336330429896,0.001966844619275077,0.0,19.67
CAJUEIRO DA PRAIA,17.585056267992673,0.11973305417429993,236.95367704789322,0.3593300183198116,10.666056006281078,0.010337607956032452,0.038079036901334726,0.0010468463752944255,380.79
CALDEIRAO GRANDE DO PIAUI,51.61228939544103,0.21209117938553024,304.4598612487612,0.4606541129831516,6.6283448959365705,0.006541129831516353,0.02497522299306244,0.0,249.75
CAMPINAS DO PIAUI,45.193479422768576,0.21147336540174594,278.99518973810797,0.411366470693034,3.1649741671120615,0.003206841261357563,0.0060573668270087295,0.00017815784785319794,60.57
CAMPO ALEGRE DO FIDALGO,48.95100415512465,0.20602493074792244,254.60526315789474,0.3736149584487535,5.065789473684211,0.005020775623268698,0.0022506925207756235,0.00017313019390581717,22.51
CAMPO GRANDE DO PIAUI,42.79034157832744,0.1855965000841326,286.0171630489652,0.419653373716978,6.681894665993606,0.006562342251388188,0.017163048965169108,0.00016826518593303046,171.63
CAMPO LARGO DO PIAUI,66.55625772770985,0.23904382470119523,290.3146036543481,0.42327242753125427,5.598983376837477,0.005495260337958511,0.026514631130649814,0.000549526033795851,265.15
CAMPO MAIOR,21.957786176414068,0.12542438024469926,252.2452117096919,0.35887088164328573,48.24142164712916,0.04618538210236372,0.04716759549890035,0.0008968035359682275,471.68
CANAVIEIRA,48.28025316455696,0.1837974683544304,244.40506329113924,0.34860759493670884,2.6455696202531644,0.002531645569620253,0.0010126582278481013,0.0,10.13
CANTO DO BURITI,35.51998867229905,0.1850663142493038,252.15462311794968,0.3598904988908293,47.39911266342568,0.045216406286874025,0.01364043989238684,0.00028319252371737387,136.4
CAPITAO DE CAMPOS,38.376456161863885,0.17386353683104144,280.5290356485942,0.4127178768503109,14.55329771393536,0.014014189366733818,0.014890076202154682,8.758868354208637e-05,148.9
CAPITAO GERVASIO OLIVEIRA,67.47390243902439,0.2702439024390244,327.219512195122,0.47878048780487803,8.411212195121951,0.008292682926829269,0.004878048780487805,0.00024390243902439024,48.78
CARACOL,53.24413704653719,0.19173689996335655,259.2707951630634,0.38310736533528766,11.583455478197141,0.011176255038475632,0.014840600952729937,0.00027482594356907294,148.41
CARAUBAS DO PIAUI,33.036298568507156,0.19921608725289708,275.86912065439674,0.40354464894342196,7.657634628493525,0.007498295841854124,0.027266530334014997,0.0005112474437627812,272.67
CARIDADE DO PIAUI,43.3891849220446,0.2376159463193211,334.6358792184725,0.4799684231300572,5.774620090783501,0.005723307677126505,0.006315373988553385,0.0,63.15
CASTELO DO PIAUI,36.980117670927164,0.1523635625887604,257.9123554473524,0.3747210387502536,36.78383039156015,0.035149117468046255,0.006086427267194157,0.0002028809089064719,60.86
CAXINGO,41.49557522123894,0.17938790560471976,273.3407079646018,0.4153761061946903,1.7339601769911503,0.0018436578171091445,0.019542772861356934,0.0,195.43
COCAL,34.967106920502395,0.176269478533127,273.2356857523302,0.4111634937200849,28.356065786158997,0.027170979234894015,0.024615827545254976,0.0005758088314679527,246.16
COCAL DE TELHA,46.09343692496422,0.20875076671437334,312.32876712328766,0.42383970558168066,8.546309548149663,0.008382743815170722,0.01635657329789409,0.0006133714986710284,163.57
COCAL DOS ALVES,43.30651714610759,0.19470177149358037,290.9800097513408,0.4540874370225906,4.076060458313018,0.004063058670567203,0.026328620185275476,0.0006500893872907525,263.29
COIVARAS,39.47537313432836,0.1853233830845771,292.9850746268657,0.43283582089552236,4.419154228855722,0.004477611940298508,0.025124378109452738,0.0002487562189054726,251.24
COLONIA DO GURGUEIA,47.83775447254781,0.21190623072177667,309.71622455274525,0.42581739666872304,9.347624922887107,0.009099321406539173,0.007248611967921036,0.00030845157310302283,72.49
COLONIA DO PIAUI,38.74399164054336,0.18403866248693834,271.08150470219437,0.3857105538140021,2.0474137931034484,0.0020898641588296763,0.0073145245559038665,0.00013061650992685477,73.15
CONCEICAO DO CANINDE,44.707058088694566,0.21195086404330626,297.9387882573392,0.42535915053091816,3.4811576098271915,0.003539454507599417,0.003539454507599417,0.00020820320632937748,35.39
CORONEL JOSE DIAS,52.77936779154208,0.20845792396411789,285.9034600598035,0.4192652712516019,9.820589491670226,0.009611277231952157,0.0051260145237078175,0.00021358393848782572,51.26
CORRENTE,27.285617775108843,0.13744182555171897,239.80633538507732,0.34101486263323827,57.458574163038584,0.054984236601110945,0.011146974928689386,0.00011259570635039784,111.47
CRISTALANDIA DO PIAUI,40.995297805642636,0.15770436460091633,213.91367253436218,0.3166144200626959,4.409814323607427,0.0043404870991077885,0.001326259946949602,0.0,13.26
CRISTINO CASTRO,49.418401611820016,0.1742300681185839,271.59167226326394,0.3828072531900604,32.18315264319294,0.03089321692411014,0.009114458409287153,9.594166746618056e-05,91.14
CURIMATA,43.601159114857744,0.15569020021074817,241.20126448893572,0.3658236740428521,40.834694415173864,0.03916403231471725,0.014576747453459783,8.781173164734808e-05,145.77
CURRAIS,40.29935405732741,0.18994751715785224,301.33225676221235,0.40674202664513526,0.0,0.0,0.029067420266451354,0.00020185708518368994,290.67
CURRAL NOVO DO PIAUI,43.87871982032566,0.18566348493355792,228.41100505334083,0.33632790567097137,2.346996069623807,0.0024330900243309003,0.009732360097323601,0.0,97.32
CURRALINHOS,51.18861129867207,0.1868107134818816,322.21471978392975,0.483006977267612,3.29282016655413,0.00337609723160027,0.036011703803736216,0.0,360.12
DEMERVAL LOBAO,43.89824129695303,0.20011579937757834,316.8270970543533,0.4220887312730694,17.243974813635376,0.016573785915900703,0.07251936020843888,0.00021712383295939786,725.19
DIRCEU ARCOVERDE,49.88674939380973,0.1750106974753958,264.7839109970047,0.3869633433176437,20.2710027100271,0.019540721723006704,0.01312223648552275,0.0001426330052774212,131.22
DOM EXPEDITO LOPES,23.97986674391657,0.14049826187717265,245.77056778679028,0.37137891077636154,6.054461181923522,0.005938586326767092,0.011587485515643106,0.00028968713789107763,115.87
DOM INOCENCIO,42.11019254918376,0.204688154039347,123.5663457513604,0.18218920050230222,8.857785684386773,0.00858099623273336,0.005755546253662621,0.00010464629552113855,57.56
DOMINGOS MOURAO,42.68289322617681,0.18163030998851895,557.0149253731344,0.8234213547646383,13.677382319173365,0.013318025258323766,0.003444316877152698,0.0,34.44
ELESBAO VELOSO,20.917340090398575,0.12655800575263662,216.05259553485823,0.3191343651554582,31.345706067661965,0.030064374743185865,0.020134228187919462,0.0005478701547733187,201.34
ELISEU MARTINS,35.282197355035606,0.15035605289928788,235.84944048830113,0.34587995930824006,8.717192268565615,0.008545269582909461,0.0032553407934893183,0.0004069175991861648,32.55
ESPERANTINA,36.500641719304426,0.16319802702770717,275.0635427938697,0.37383295165714575,32.00455494878828,0.030651533834964894,0.024863477363666106,0.0006794674988046405,248.63
FARTURA DO PIAUI,61.98624458262672,0.2255511588468061,297.56924816280383,0.4360278876954965,4.135104578858112,0.0041454682494818165,0.006029771999246278,0.0001884303749764462,60.3
FLORES DO PIAUI,43.18149226977369,0.218686981850773,269.8185077302263,0.39256105758458437,4.6829486892224965,0.0047053551422809765,0.002688774367017701,0.00022406453058480843,26.89
FLORESTA DO PIAUI,40.381939014855355,0.19781078967943705,273.494917904613,0.40695856137607506,6.1278342455043004,0.006254886630179828,0.023064894448788117,0.0007818608287724785,230.65
FLORIANO,10.443680654041879,0.07171102027196129,202.74964544923668,0.2800033369483607,40.32846166680571,0.03845832985734546,0.035805455910569786,0.00048385751230499706,358.05
FRANCINOPOLIS,27.770007479431563,0.156320119670905,217.31488406881078,0.3206806282722513,6.252804786836201,0.0061705310396409875,0.006357516828721017,0.0,63.58
FRANCISCO AYRES,36.61292548298068,0.1688132474701012,243.00827966881326,0.35694572217111314,4.8068077276908925,0.004829806807727691,0.0052897884084636615,0.0,52.9
FRANCISCO MACEDO,29.86180904522613,0.14761306532663315,242.14824120603015,0.3548994974874372,4.2666457286432165,0.004082914572864322,0.03800251256281407,0.000314070351758794,380.03
FRANCISCO SANTOS,22.696963193475696,0.13016418070608435,210.7951496941732,0.3192402618306685,14.129198411846765,0.013520764030475373,0.006760382015237687,0.0,67.6
FRONTEIRAS,34.58408602150538,0.15716129032258064,256.8258064516129,0.36868817204301074,11.416344086021505,0.011010752688172042,0.013247311827956989,8.602150537634408e-05,132.47
GEMINIANO,44.78959941198089,0.21628077912532157,317.7508269018743,0.4434031606027196,4.416574788680632,0.004410143329658214,0.012495406100698273,0.0003675119441381845,124.95
GILBUES,38.93246024321796,0.15949485500467728,253.133769878391,0.3509822263797942,28.153414405986904,0.027034611786716557,0.011318989710009355,9.354536950420954e-05,113.19
GUADALUPE,33.87236879702829,0.13991808743689876,252.42404038479856,0.3460329555195733,32.44785217639775,0.0309553290789599,0.007619773311743976,9.524716639679969e-05,76.2
GUARIBAS,61.99167032003507,0.21854449802718107,288.95221394125383,0.4281017097764139,12.14050854888207,0.01183691363437089,0.002849627356422622,0.0,28.5
HUGO NAPOLEAO,36.22156306422492,0.19035336600464275,267.8875419138509,0.370647407789528,5.390766056229043,0.0054165591952540625,0.0745421717823059,0.0005158627805003869,745.42
ILHA GRANDE,29.174305113515807,0.1654996817313813,263.14449395289625,0.3768300445576066,10.532039040950563,0.010184595798854232,0.02673456397199236,0.000424358158285593,267.35
INHUMA,26.33015416775542,0.15860987718839822,253.43611183694802,0.3666056963679122,16.656650117585578,0.016004703423046773,0.012803762738437419,0.0001306506401881369,128.04
IPIRANGA DO PIAUI,23.498522067067576,0.15553970033635714,256.54877178677,0.37254102537967587,7.668943023137295,0.007440627866680257,0.01498318214249312,0.00010192640913260625,149.83
ISAIAS COELHO,44.21441104222716,0.21195461457480408,268.9437361094865,0.38472335945724645,10.879050181307756,0.010527547081530003,0.012048192771084338,0.00011697274535033338,120.48
ITAINOPOLIS,27.197831743278403,0.1691240242844753,250.5637467476149,0.37727666955767564,9.425845620121422,0.009019947961838682,0.004596704249783174,8.673026886383348e-05,45.97
ITAUEIRA,26.072238860150648,0.1372175333514838,230.76504219983664,0.3558399128777566,39.54669207732099,0.03757146746528723,0.0026318177693075598,0.00018150467374534896,26.32
JACOBINA DO PIAUI,39.942518724960806,0.22069325901410905,290.3326946524996,0.41978749346803695,4.00452882773036,0.00400627068454973,0.0019160425013063926,0.0,19.16
JAICOS,37.75350711892797,0.18189907872696817,252.41834170854273,0.36683417085427134,19.965758479899495,0.019158291457286432,0.005234505862646567,0.0003664154103852596,52.35
JARDIM DO MULATO,52.07126998223801,0.2146980461811723,266.56305506216694,0.3803285968028419,2.3201598579040854,0.0024422735346358794,0.003108348134991119,0.0,31.08
JATOBA DO PIAUI,41.8,0.18396711202466598,286.61870503597123,0.4250770811921891,4.081192189105858,0.0041109969167523125,0.00945529290853032,0.00020554984583761563,94.55
JERUMENHA,52.61522911051213,0.21900269541778974,314.6900269541779,0.4476639712488769,7.276504941599281,0.0071877807726864335,0.022461814914645103,0.00022461814914645105,224.62
JOAO COSTA,39.880319148936174,0.19913563829787234,282.4468085106383,0.42686170212765956,1.389627659574468,0.0016622340425531915,0.005984042553191489,0.0,59.84
JOAQUIM PIRES,44.18517486414937,0.17897450188100877,261.04221819701826,0.39299150062700294,4.8777344294273375,0.004737355440992058,0.05106590497422321,0.0005573359342343597,510.66
JOCA MARQUES,40.066691162961604,0.19731765570457468,273.37865147896383,0.4063935329781371,7.679588462245086,0.00753261069263274,0.06007716332904648,0.00018372221201543268,600.77
JOSE DE FREITAS,31.648821669047134,0.14966333401346663,271.0314221587431,0.3844113446235462,18.470337686186493,0.017700469291981227,0.028361558865537647,0.0004335849826566007,283.62
JUAZEIRO DO PIAUI,35.01442132165024,0.16593647316538881,272.17962760131434,0.3994158451989777,2.289156626506024,0.0023731288791529756,0.012048192771084338,0.0,120.48
JULIO BORGES,47.86547005509152,0.1800248800426515,254.0963213079794,0.3847520881464368,2.7856762040163496,0.0028434334458859074,0.0021325750844144306,0.00035542918073573843,21.33
JUREMA,49.22317866890615,0.21331093848414864,333.06739449926516,0.5001049758555532,11.628175519630485,0.011337392399748058,0.003569179088809574,0.0002099517111064455,35.69
LAGOA ALEGRE,43.86630765628659,0.17255911964411144,85.20252868180754,0.12268789510653243,4.037110746897682,0.00398033247483025,0.022360103020369938,0.0005853430110044487,223.6
